VIN	customer	service_writer	start_date	completion_date	odometer	labor_cost	repair_desc
00AIVKIDO01487633	B0490229322	user33	12/13/2020	12/20/2020	22387	212.6	reduce fuel consumption; change coolant; 
00AIVKIDO01487633	C7405915994	user33	1/17/2021	2/20/2021	139603	106.3	change coolant; repair shiftable automatic transmission; 
00AIVKIDO01487633	B3560453812	user33	4/11/2021	5/22/2021	390280	2126	configure audio remote control; change speaker configuration; 
00AIVKIDO01487633	B0667673329	roland	5/26/2021	6/27/2021	427720	372.05	improve cylinder configuration; fix external temperature display; 
00AIVKIDO01487633	B8426722523	user12	7/25/2021	8/16/2021	552034	159.45	install smoked glass; adjust hybrid performance; 
00AIVKIDO01487633	C5471875763	roland	8/17/2021	9/10/2021	562424	1063	change air conditioner refrigerant; 
01WR7E2ZMCD216522	A7476663773	user29	7/3/2021	7/13/2021	166449	25.72	reconfigure service reminder light; 
01WR7E2ZMCD216522	C2486363271	user15	7/24/2021	8/10/2021	282743	437.24	change wheel cylinders; reduce fuel consumption; 
01WR7E2ZMCD216522	38-5109013	user33	8/13/2021	8/23/2021	310771	128.6	replace stabilizer bar; 
01WR7E2ZMCD216522	A2356695475	user15	8/24/2021	8/27/2021	314309	102.88	adjust seat belts tension; adjust running boards; 
01WR7E2ZMCD216522	A6107738399	user33	8/28/2021	8/30/2021	320114	77.16	adjust retractable mirrors; fix power activated release; 
01WR7E2ZMCD216522	A2549561818	user15	9/13/2021	9/26/2021	413197	77.16	remove oversteer; replace liftgate window; 
06XZOKN8UAY309163	D8119514417	user17	3/10/2020	3/16/2020	170246	47.08	change coolant; improve cylinder configuration; 
06XZOKN8UAY309163	D5106706321	user30	6/12/2020	8/5/2020	1076779	459.05	install curtain airbags; correct abs; 
06XZOKN8UAY309163	C3623479361	user29	8/11/2020	9/7/2020	1079230	317.8	change air conditioner refrigerant; replace tail lights; 
06XZOKN8UAY309163	A3642699140	user33	9/22/2020	11/24/2020	1251449	200.1	refurbish power steering; adjust regenerative braking; 
06XZOKN8UAY309163	B7250129830	user33	2/28/2021	3/4/2021	2230732	47.08	repair direct injection system; change oil filter; 
06XZOKN8UAY309163	B2456071697	user33	3/29/2021	4/17/2021	2274008	35.31	replace radiator core & ac condenser; install parking sensors; 
06XZOKN8UAY309163	D2440363626	user29	4/21/2021	4/22/2021	2319475	11.77	repair cooled seats; set up satellite radio; 
06XZOKN8UAY309163	D8053038202	user33	7/17/2021	8/22/2021	2833460	376.66	repair shiftable automatic transmission; fix broken tow hooks; 
073HOEWCHAF741925	B5240692276	user30	4/8/2021	4/13/2021	162717	134.67	set up gyro sensor; adjust hybrid performance; 
073HOEWCHAF741925	D0751253658	user15	4/24/2021	6/17/2021	279130	2020	change purge valve; replace stabilizer bar; 
073HOEWCHAF741925	B9986557803	user17	6/19/2021	6/25/2021	281726	179.56	remove oversteer; 
073HOEWCHAF741925	A1919786459	roland	7/19/2021	7/31/2021	536387	269.33	adjust climate control; repair seatbelt force limiters; 
07TSE0YYIZF380247	A2150826458	user12	11/4/2020	11/8/2020	176483	113.14	set up auto-delay headlights; adjust regenerative braking; 
07TSE0YYIZF380247	A7656008373	user15	11/15/2020	12/2/2020	208373	271.53	remove oversteer; change oil filter; 
07TSE0YYIZF380247	C2530704207	user29	12/24/2020	5/26/2021	212840	701.46	install separate rear audio; change air conditioner refrigerant; 
07TSE0YYIZF380247	48-1769205	roland	6/8/2021	6/25/2021	258277	113.14	install turbocharger; add heated windshield; 
07TSE0YYIZF380247	C8565047824	user12	7/30/2021	8/3/2021	423388	22.63	install curtain airbags; fix rear defroster; 
07TSE0YYIZF380247	C0840217146	user17	8/22/2021	8/29/2021	533194	45.26	fix deceleration system; replace liftgate window; 
0BT52YYB1L8670257	D3405738399	user15	12/2/2020	1/15/2021	42914	5248.11	fix steering damper; prevent fuel pump shutoff; 
0BT52YYB1L8670257	D4638312523	user17	3/18/2021	3/31/2021	402512	1049.62	replace serpentine belt; fix rear hvac; 
0BT52YYB1L8670257	D3639339127	roland	6/21/2021	7/8/2021	1231624	449.84	refurbish power steering; replace radiator core & ac condenser; 
0EPPRCZZ8NW751990	B3114961337	user15	12/19/2020	1/21/2021	214256	957.81	fix a-pillar; install roof spoiler; 
0EPPRCZZ8NW751990	B3613796899	user29	2/23/2021	3/23/2021	252860	1340.94	fix power activated release; 
0EPPRCZZ8NW751990	D3639339127	user12	3/25/2021	4/28/2021	264828	1149.38	repair shiftable automatic transmission; upgrade navigation system; 
0EPPRCZZ8NW751990	C0550572802	user15	5/28/2021	6/2/2021	552138	143.67	refurbish power steering; 
0EPPRCZZ8NW751990	C7966010586	user13	7/13/2021	8/8/2021	679565	622.58	adjust reverse tilt mirrors; adjust accelerator pedal linkage; 
0EPPRCZZ8NW751990	C6390913308	user12	8/13/2021	9/12/2021	736029	622.58	replace fuel filter; install curtain airbags; 
0I0Q707FJ2E520815	A0301796521	roland	4/1/2021	4/6/2021	192965	62.47	install active pedestrian protection system; 
0I0Q707FJ2E520815	B0529778191	user30	4/20/2021	4/24/2021	263376	15.62	adjust turn signals; 
0I0Q707FJ2E520815	61-1100139	user12	4/27/2021	7/18/2021	296601	531	repair cooled seats; 
0I0Q707FJ2E520815	B4430396935	roland	9/3/2021	9/4/2021	463087	31.24	repair seatbelt force limiters; change steering rack; 
0I0Q707FJ2E520815	D8282569200	roland	9/9/2021	9/13/2021	480750	15.62	fix external temperature display; adjust hybrid performance; 
0I0Q707FJ2E520815	D9868570966	user12	9/15/2021	9/26/2021	489679	78.09	reduce blind spot; install separate rear audio; 
0K0DP4SDKL0912273	D5564091609	user12	10/13/2020	10/20/2020	262543	60.89	improve cylinder configuration; correct abs; 
0K0DP4SDKL0912273	83-4401879	user29	11/7/2020	12/17/2020	418676	213.12	adjust regenerative braking; refurbish power steering; 
0K0DP4SDKL0912273	D8269311874	user17	1/5/2021	1/18/2021	510754	91.34	install active pedestrian protection system; fix power activated release; 
0K0DP4SDKL0912273	A9499931848	user13	1/23/2021	1/27/2021	550653	121.78	check drive axle boots; change coolant; 
0K0DP4SDKL0912273	34-0807225	user33	3/6/2021	3/9/2021	933976	91.34	set up satellite radio; change steering rack; 
0K0DP4SDKL0912273	A7656008373	user29	3/15/2021	5/26/2021	995206	1887.64	fix broken tow hooks; 
0K0DP4SDKL0912273	C1301696678	user17	6/10/2021	6/20/2021	1111798	152.23	adjust block heater; replace timing belt tensioner; 
0K0DP4SDKL0912273	A2150826458	user17	6/25/2021	7/22/2021	1112275	274.01	install intelligent alternator; change air conditioner refrigerant; 
0UBBG820VBK445621	64-7173397	user33	5/7/2021	5/8/2021	124384	72.57	set up satellite radio; fix nvh dampening system; 
0UBBG820VBK445621	B2831352575	user17	5/10/2021	5/23/2021	141997	254.01	install vanity mirrors; adjust running boards; 
0UBBG820VBK445621	C0550572802	user13	5/27/2021	6/10/2021	145489	108.86	change speaker configuration; configure audio remote control; 
0UBBG820VBK445621	B2391029488	user17	6/17/2021	6/23/2021	186370	217.72	install vanity mirrors; replace water pump; 
0UBBG820VBK445621	C5232024518	user17	6/28/2021	7/6/2021	196031	254.01	replace crankcase ventilation filter; change brake linings; 
0UBBG820VBK445621	B1905472111	user33	7/24/2021	9/3/2021	401752	254.01	fix steering damper; fix rear hvac; 
0VWWXBNXE6N897485	B2391029488	user30	10/15/2020	10/21/2020	69901	60.4	replace tail lights; fix a-pillar; 
